Project Management,Project Management Basics,Project Management Foundations ,https://www.linkedin.com/learning/project-management-foundations-4/deliver-successful-projects-3?u=58256457,"Learn the fundamentals of project management from establishing project goals and objectives, building a project plan to managing resources and work, meeting deadlines and closing the project.  Offered through LinkedIn Learning subscription. ",No,No
Project Management,Project Management Basics,Leading Projects ,https://www.linkedin.com/learning/leading-projects/project-management-simplified?u=58256457,This course explains the techniques needed to adopt an efficient approach using the project leadership framework. Offered through LinkedIn Learning subscription. ,No,No
Project Management,Project Management Basics,Business Acumen for Project Managers,https://www.linkedin.com/learning/business-acumen-for-project-managers/welcome?u=58256457,"This course reviews the key skills highlighted in the Project Management Institute (PMI) Talent Triangle, and explains how strategy and business management fit into your professional development. Offered through LinkedIn Learning subscription. ",No,No
Project Management,Project Management Basics,Project Portfolio Management Foundations,https://www.linkedin.com/learning/project-portfolio-management-foundations/introduction-to-portfolio-management?u=58256457,"Learn exactly what a portfolio is—a top-down strategy delivery vehicle—and what it isn't—a bottom-up reporting consolidation. Get an overview of the portfolio life cycle, from idea generation and capacity planning through execution and delivery. Offered through LinkedIn Learning subscription. ",No,No
Project Management,Project Management Basics,The Top 10 Project Management Mistakes,https://www.linkedin.com/learning/the-top-10-project-management-mistakes-and-how-to-avoid-them/what-to-expect?u=58256457,"This course introduces the 10 most common mistakes project managers make and explains how to avoid them. The course delivers practical advice on how to make an effective Gantt chart, reschedule tasks without affecting project timing, and communicate with bosses and clients. Offered through LinkedIn Learning subscription. ",No,No
Project Management,Project Management Basics,Blending Project Management Methods ,https://www.linkedin.com/learning/blending-project-management-methods/choosing-a-project-management-method?u=58256457,"This course reviews the basics of waterfall and agile (including scrum and Kanban), covering their life cycles, strengths, weaknesses, and constraints.  Also explained are how to select your framework and measure team progress, so you can see how your choice impacts overall performance. Offered through LinkedIn Learning subscription. ",No,No
Project Management,Project Management Basics,Leading Remote Projects & Virtual Teams,https://www.gebrilliantyou.com/new/details.html?title=1004708,"Being able to manage remote projects and lead virtual teams has never been more important. The COVID-19 crisis has required business professionals to adapt to new digital workflows, communicating and collaborating virtually with clients and colleagues across the world. No cost for course.",No,No
Project Management,Project Management Basics,Become a Project Manager (Learning Path),https://www.linkedin.com/learning/paths/become-a-project-manager?u=58256457,"Project managers are catalysts for change. Learn how to manage projects from beginning to end using proven project management techniques. After completing this learning path, you'll have the skills and knowledge to manage simple projects as well as complex, enterprise-wide initiatives. Learning path includes 11 courses. Offered through LinkedIn Learning subscription. ",No,No
Project Management,Project Management Basics,Become a Technical Program Manager (Learning Path),https://www.linkedin.com/learning/paths/become-a-technical-program-manager?u=58256457,Managing multiple technical project teams is not an easy task. Discover and develop the skills that to set you apart as the leader of those teams with this learning path. Learning path includes 18 courses. Offered through LinkedIn Learning subscription. ,No,No
Project Management,Project Management Basics,Develop Your Project Management Skills (Learning Path) ,https://www.linkedin.com/learning/paths/develop-your-project-management-skills?u=58256457,"Develop your project management skills by learning how to create a quality project plan, execute on that plan, and monitor the results. Discover how to identify and react to outside forces that might influence project goals. Implement best practices to ensure you deliver value for your stakeholders. Learning Path includes 8 courses. Offered through LinkedIn Learning subsciption. ",No,No
Project Management,Project Management Basics,Cert Prep: Project Management Professional (PMP),https://www.linkedin.com/learning/cert-prep-project-management-professional-pmp/welcome?u=58256457,,No,No
Project Management,Project Management Basics,Exam Tips: Project Management Professional (PMP),https://www.linkedin.com/learning/exam-tips-project-management-professional-pmp/welcome?u=58256457,,No,No
Project Management,Project Management Basics,Cert Prep: PRINCE2 Foundation & Practitioner ,https://www.linkedin.com/learning/cert-prep-prince2-foundation-and-practitioner/welcome-to-prince2-foundation?u=58256457,"This course breaks down each of the 7 themes, 7 processes, and 7 principles of PRINCE2® in a succinct format, so that you are knowledgeable, empowered, and prepared to answer all the related questions from the exams. Learn how themes, processes, roles, and even documentation can be tailored for your business, and how the project environment is covered by each of the seven themes: business case, organization, quality, plans, risk, change, and progress. Offered through LinkedIn Learning subscription. ",No,No
